IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
73.7,89.4,1042.4,295.3
118.4,396.3,1226.4,506.4
128.2,709.7,722.5,373.1
42.6,308.5,307.5,186.8
2,0,134.4,0
0,0,31.9,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,281.3,194.5
0,293.7,375.8,399.9
0,553.9,486.6,300.7
16.7,127,486,302.8
4.5,14.5,594.5,303.2
43.6,0,445.4,299.8
64.7,0,374.3,400.5
75.9,91.3,315.5,501.1
39.2,195,179,505.3
22.4,299.1,34.7,368.1
5.5,28.3,0,199.9
0,0,0,15.9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,93.7
86.2,288,479.5,96.1
130.7,694.4,950.1,200.3
146.8,1013.4,1136.2,131
171.6,965.7,1696,99.9
157.7,903.6,1951.7,67.4
155.7,794.9,2181.2,97.4
147.3,905.9,1967.7,141.2
123.1,897.5,1965.5,254.8
135.9,1005.4,630.4,152.6
75.2,555.3,289.6,20.2
42.2,163,113,0
8.5,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,82.4,0
0,0,253.1,299.2
0,382.5,434,296.6
94.8,1014.5,485.8,300.1
144.8,1097.8,598.9,302.2
146.8,1071,483.3,302.7
105.9,1035.1,398.5,301.3
74,671.1,0,298.5
2.5,154.1,0,498.1
0,0,0,600
0,94.9,0,493.6
0,0,0,229.5
0,0,0,132.9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,198
0,0,582.4,95.9
0,0,621.1,76.5
7.8,0,603.7,0
0,0,801.4,0
0,0,440.3,99
0,0,245.7,199.2
0,0,0,197.4
16.5,0,82.9,196.2
6.8,0,2.3,193.9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,378.8,0
0,491.5,585.6,196.8
0,676.9,786.1,201.4
0,253,628.7,98.9
0,113.3,630.9,87.7
0,78.6,357.6,98.1
0,0,233.6,93.2
34.2,0,0,294.8
73.3,0,380.3,479.4
75.6,0,274.5,305.3
25.5,0,32.3,39.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
